iter	MultiClass
0	1.359714224
1	1.326340033
2	1.305261416
3	1.278565334
4	1.252578925
5	1.213426081
6	1.193430409
7	1.169135628
8	1.137230379
9	1.1102413
10	1.083080396
11	1.06764482
12	1.054682557
13	1.030080431
14	0.9997790113
15	0.9802849845
16	0.9613177749
17	0.9337593092
18	0.9073296562
19	0.8902371674
20	0.86553986
21	0.8492717256
22	0.8308409768
23	0.8128913007
24	0.7980744691
25	0.7768801949
26	0.7628191618
27	0.7492488578
28	0.733739852
29	0.7200222199
30	0.7053439431
31	0.6875964902
32	0.6757432986
33	0.6624752347
34	0.6495062434
35	0.6369151024
36	0.6245314941
37	0.612871992
38	0.5985262163
39	0.5873819354
40	0.5739442511
41	0.5634252889
42	0.5559706782
43	0.5450127131
44	0.5344206722
45	0.5261587075
46	0.5148168642
47	0.5059214954
48	0.4985790607
49	0.4900730551
