iter	Passed	Remaining
0	161	7911
1	164	3946
2	166	2605
3	168	1932
4	172	1553
5	175	1285
6	181	1112
7	183	965
8	185	843
9	186	746
10	187	665
11	188	597
12	190	541
13	191	492
14	192	449
15	194	414
16	196	380
17	197	351
18	198	323
19	200	300
20	201	277
21	204	260
22	205	241
23	206	224
24	208	208
25	209	193
26	211	180
27	213	167
28	214	155
29	216	144
30	217	133
31	218	123
32	220	113
33	221	104
34	222	95
35	223	87
36	225	79
37	225	71
38	227	64
39	228	57
40	229	50
41	231	44
42	232	37
43	234	31
44	235	26
45	236	20
46	238	15
47	239	9
48	240	4
49	241	0
